證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"6409","旭隼","90936","131693110","1435.00","1470.00","1425.00","1460.00","55.0000","202"
"6412","群電","196778","14193189","72.80","72.80","71.60","71.90","-0.1000","262"
"6414","樺漢","3930145","901889435","222.00","234.00","222.00","232.00","11.0000","4003"
"6415","矽力*-KY","3874642","2130315018","547.00","558.00","540.00","550.00","23.0000","2553"
"6416","瑞祺電通","98500","8647519","88.50","88.50","87.20","88.30","1.6000","89"
"6426","統新","1159224","74015210","63.90","66.00","61.80","62.60","1.4000","942"
"6431","光麗-KY","23300","535892","23.20","23.20","22.75","23.20","0.0000","43"
"6438","迅得","178978","15750730","87.70","88.50","87.40","88.10","1.1000","189"
"6442","光聖","14308674","843164181","55.60","61.80","54.00","61.80","5.6000","9337"
"6443","元晶","7282586","237891034","32.40","33.10","32.30","32.95","0.9000","3836"
"6449","鈺邦","90190","3607230","40.70","40.70","39.85","39.95","-0.0500","55"
"6451","訊芯-KY","161556","11429994","69.60","72.00","69.60","71.70","2.8000","141"
"6456","GIS-KY","455087","34392578","75.40","76.00","75.10","75.80","1.2000","318"
"6464","台數科","3107","256823","83.00","83.00","82.50","82.50","0.3000","8"
"6477","安集","2607795","131660886","50.00","51.50","49.60","51.50","2.1000","1905"
"6491","晶碩","342727","139923780","398.50","417.00","398.50","405.50","5.5000","394"
"6504","南六","21344","1745079","81.60","82.00","81.50","81.70","0.3000","27"
"6505","台塑化","1537966","128104924","83.70","83.80","82.90","83.10","0.6000","1066"
"6515","穎崴","553266","222104290","396.00","407.00","395.00","403.00","13.0000","606"
"6525","捷敏-KY","316505","23187683","73.40","73.90","72.70","73.40","0.4000","298"
"6531","愛普*","2948078","572298275","194.00","196.50","192.00","193.00","1.5000","3130"
"6533","晶心科","5701680","1489040933","267.00","272.00","252.50","257.50","-4.5000","5310"
"6541","泰福-KY","1707234","82855903","47.90","49.10","47.90","48.35","1.0000","1319"
"6550","北極星藥業-KY","1804344","209300128","115.50","117.50","115.00","116.00","2.0000","1217"
"6552","易華電","42471","1654439","39.10","39.15","38.60","39.00","0.8000","37"
"6558","興能高","50038","1068170","21.35","21.50","21.20","21.35","0.4000","42"
"6573","虹揚-KY","198339","3217930","16.15","16.40","15.95","16.20","0.4500","116"
"6579","研揚","1392996","129031865","87.00","93.60","87.00","93.60","8.5000","948"
"6581","鋼聯","316052","27625733","86.20","88.50","86.20","87.20","-1.8000","281"
"6582","申豐","317222","25309653","77.00","80.60","77.00","80.00","2.2000","349"
"6585","鼎基","72100","4889105","67.50","68.30","67.10","68.20","1.0000","65"
"6591","動力-KY","46211","2105028","45.35","45.75","45.35","45.40","0.4000","66"
"6592","和潤企業","546208","56888986","103.00","105.00","103.00","104.50","2.5000","555"
"6598","ABC-KY","220758","5942182","26.10","27.35","26.10","27.35","1.2500","171"
"6605","帝寶","2665773","200143522","71.50","76.30","71.50","75.80","4.6000","1884"
"6625","必應","8000","229300","28.60","28.85","28.60","28.60","0.0500","4"
"6641","基士德-KY","10010","583092","58.00","59.20","58.00","59.20","1.2000","8"
"6655","科定","14196","1854409","133.00","133.00","130.00","131.00","1.0000","17"
"6666","羅麗芬-KY","18500","1028109","55.80","56.80","55.00","55.70","0.5000","24"
"6668","中揚光","184325","7860716","42.00","43.20","42.00","42.55","0.9500","168"
"6669","緯穎","1045238","733629220","683.00","712.00","679.00","707.00","41.0000","1158"
"6670","復盛應用","467674","87747983","184.50","189.00","184.00","188.50","5.5000","328"
"6671","三能-KY","8010","328430","41.00","41.00","41.00","41.00","0.1000","6"
"6672","騰輝電子-KY","119838","7528046","62.80","63.20","62.20","62.40","0.8000","127"
"6674","鋐寶科技","19000","498350","25.85","26.70","25.85","26.20","0.6000","18"
"6691","洋基工程","178279","28452361","160.00","162.50","159.00","159.00","-1.0000","173"
"6698","旭暉應材","33051","958178","28.55","29.20","28.55","29.20","0.6500","32"
"6706","惠特","747126","84008243","110.00","114.50","110.00","111.50","3.5000","766"
"6715","嘉基","301859","46396276","152.50","156.00","150.00","155.00","4.5000","240"
"6719","力智","1842352","533605717","287.00","294.50","285.50","291.00","7.5000","1871"
"6743","安普新","55986","2039853","35.90","36.80","35.90","36.50","0.6000","57"
"6754","匯僑設計","53053","2266039","43.30","43.30","42.50","42.70","0.5000","34"
"6756","威鋒電子","516202","118706558","229.00","233.50","227.50","228.00","0.0000","658"
"6768","志強-KY","143218","10073076","68.70","71.40","68.70","71.10","2.5000","117"
"6770","力積電","35472355","1211991673","34.15","34.45","33.85","34.20","0.4000","12929"
"6776","展碁國際","58197","2271034","38.85","39.15","38.80","39.10","0.0000","50"
"6781","AES-KY","857717","877239349","980.00","1050.00","980.00","1020.00","53.0000","1148"
"6789","采鈺","1110543","359025904","314.00","328.50","314.00","326.00","16.5000","1515"
"6790","永豐實","55619","2145714","38.40","38.65","38.40","38.60","0.2000","54"
"6792","詠業","96099","8082175","84.60","84.60","83.20","84.50","1.7000","99"
"6796","晉弘","1632557","205339812","128.50","132.50","118.00","121.00","-5.5000","1547"
"6799","來頡","99537","12161000","121.00","124.00","121.00","124.00","5.5000","98"
"6806","森崴能源","448967","35634103","77.80","80.20","77.80","80.10","2.3000","432"
"6807","峰源-KY","12000","332800","27.90","27.95","27.40","27.70","-0.0500","9"
"8011","台通","1627938","24285275","14.25","15.15","14.25","14.90","0.7500","851"
"8016","矽創","1432299","236027241","163.50","166.50","162.50","166.00","6.0000","1381"
"8021","尖點","273314","7788691","28.45","28.75","28.30","28.30","0.3000","217"
"8028","昇陽半導體","22286826","1510676986","67.80","69.20","66.60","68.00","1.3000","15117"
"8033","雷虎","351575","5772824","16.30","16.50","16.25","16.50","0.2500","213"
"8039","台虹","97299","3985367","40.85","41.10","40.85","40.95","0.2000","111"
"8046","南電","12058999","2947856739","241.00","249.00","240.00","244.00","9.5000","12856"
"8070","長華*","267627","8624453","32.00","32.40","31.90","32.25","0.5000","179"
"8072","陞泰","21054","474529","22.40","22.60","22.40","22.45","0.3500","52"
"8081","致新","278163","39093918","141.00","143.00","139.50","140.00","1.0000","300"
"8101","華冠","198038","431948","2.20","2.20","2.17","2.17","0.0000","62"
"8103","瀚荃","769587","26961806","35.00","35.30","34.80","35.20","0.0000","329"
"8104","錸寶","284676","11339714","39.30","40.15","39.25","39.85","1.2500","247"
"8105","凌巨","2675421","30913840","11.45","11.75","11.40","11.50","0.1500","937"
"8110","華東","554000","6855550","12.15","12.45","12.15","12.40","0.3500","265"
"8112","至上","1593246","58457935","36.45","36.85","36.45","36.70","0.0500","1084"
"8112A","至上甲特","31759","1324786","41.65","41.80","41.65","41.80","0.1000","30"
"8114","振樺電","9671677","1594015635","163.50","169.00","161.00","166.00","-1.0000","7481"
"8131","福懋科","257355","9785681","37.95","38.20","37.80","38.00","0.3000","218"
"8150","南茂","4755614","165659416","34.55","35.15","34.55","34.90","0.7000","3030"
"8163","達方","1644159","66027463","39.70","40.70","39.15","40.45","1.4000","978"
"8201","無敵","454012","5720450","12.55","12.85","12.45","12.50","0.0000","239"
"8210","勤誠","384476","27153801","69.50","71.30","69.40","71.00","2.5000","325"
"8213","志超","364735","13396922","36.60","36.85","36.50","36.80","0.3500","329"
"8215","明基材","965737","29063326","29.60","30.25","29.60","30.20","0.6000","623"
"8222","寶一","2658312","62049615","22.90","23.80","22.85","23.25","0.2000","1476"
"8249","菱光","43119","900057","20.90","21.00","20.80","20.85","0.2500","142"
"8261","富鼎","3553068","368879771","103.00","105.00","102.00","104.50","3.0000","2463"
"8271","宇瞻","250890","9936078","39.30","39.90","39.10","39.80","0.7000","172"
"8341","日友","90472","16397262","182.00","182.00","180.50","181.50","0.5000","306"
"8367","建新國際","31019","1054150","33.85","34.10","33.85","34.00","0.1500","28"
"8374","羅昇","86741","2763886","31.85","32.00","31.55","31.60","-0.2000","91"
"8404","百和興業-KY","143044","4061514","28.35","28.60","27.90","28.40","0.0500","72"
"8411","福貞-KY","178334","2840658","16.20","16.20","15.80","15.90","-0.2500","118"
"8422","可寧衛","66152","11346650","170.00","172.00","170.00","172.00","2.0000","165"
"8429","金麗-KY","77143","717623","9.20","9.37","9.20","9.33","0.1400","112"
"8438","昶昕","51130","1552386","31.00","31.00","29.95","30.75","0.7500","49"
"8442","威宏-KY","108002","6844322","62.30","64.50","61.60","64.00","2.7000","60"
"8443","阿瘦","83057","982323","11.65","11.90","11.65","11.90","0.2000","84"
"8454","富邦媒","577629","433226016","725.00","760.00","725.00","760.00","36.0000","1067"
"8462","柏文","8057","977714","121.00","121.50","121.00","121.50","1.0000","33"
"8463","潤泰材","355204","6960428","19.90","20.40","19.40","19.75","-0.1500","211"
"8464","億豐","1234200","352128740","275.00","287.00","275.00","286.00","14.0000","482"
"8466","美吉吉-KY","7000","308000","44.00","44.00","44.00","44.00","0.2000","6"
"8467","波力-KY","347744","21827224","60.50","64.00","60.50","62.70","2.5000","310"
"8473","山林水","33441","1002836","30.00","30.05","29.95","30.00","0.0000","46"
"8478","東哥遊艇","5451617","1100131109","198.50","205.00","197.00","203.00","8.0000","4666"
"8480","泰昇-KY","8252","547905","67.10","67.10","66.00","66.60","0.0000","12"
"8481","政伸","29039","1714424","59.10","59.30","58.70","59.30","0.2000","25"
"8482","商億-KY","8000","568600","71.20","71.20","71.00","71.00","-0.4000","8"
"8488","吉源-KY","7000","111650","15.90","16.00","15.90","16.00","0.0000","7"
"8499","鼎炫-KY","16200","1835300","112.50","114.50","112.50","114.00","1.5000","17"
"8926","台汽電","627738","23575651","37.50","37.70","37.40","37.60","0.1000","300"
"8940","新天地","179900","2618171","14.40","14.75","14.40","14.55","0.5500","123"
"8996","高力","4043388","318364480","78.10","80.20","77.00","78.70","-0.2000","2859"
"9103","美德醫療-DR","238368","1777099","7.59","7.59","7.38","7.41","0.1100","127"
"910322","康師傅-DR","15032","363132","24.05","24.25","24.05","24.25","0.5000","7"
"9105","泰金寶-DR","1750035","6244881","3.53","3.59","3.53","3.57","0.0400","480"
"910861","神州-DR","160005","1083404","6.51","6.84","6.51","6.80","0.3800","79"
"9110","越南控-DR","54000","167300","3.10","3.15","3.05","3.12","0.0300","26"
"911608","明輝-DR","372493","1107528","2.91","3.03","2.89","2.99","0.1200","86"
"911622","泰聚亨-DR","82000","417120","5.03","5.11","5.03","5.11","0.0800","13"
"911868","同方友友-DR","149000","166160","1.12","1.13","1.10","1.12","0.0100","38"
"912000","晨訊科-DR","331000","750080","2.23","2.28","2.23","2.25","0.0200","64"
"9136","巨騰-DR","340000","2269950","6.70","6.74","6.62","6.62","-0.1100","100"
"9802","鈺齊-KY","3729390","598818840","155.50","163.00","155.00","162.50","7.0000","2415"
"9902","台火","13942","146536","10.45","10.55","10.45","10.55","0.1000","32"
"9904","寶成","3764417","101056660","26.70","27.00","26.55","26.95","0.6500","1675"
"9905","大華","49001","1228276","25.00","25.10","25.00","25.05","-0.0500","43"
"9906","欣巴巴","125030","6043120","49.50","49.50","48.10","48.50","0.4000","39"
"9907","統一實","2674307","43458172","16.05","16.35","16.05","16.25","0.1000","840"
"9908","大台北","68018","2243677","32.85","33.05","32.85","33.00","0.0000","73"
"9910","豐泰","1809858","294929431","157.00","165.50","155.00","165.50","15.0000","1299"
"9911","櫻花","110911","7024846","63.40","63.60","62.50","63.40","1.0000","156"
"9912","偉聯","2098602","27453059","12.90","13.85","12.20","13.85","1.2500","940"
"9914","美利達","1314455","302086985","226.00","232.50","226.00","231.50","6.5000","944"
"9917","中保科","138137","14196688","103.00","103.00","102.00","103.00","0.0000","236"
"9918","欣天然","4155","181207","43.70","43.70","43.30","43.30","0.3000","15"
"9919","康那香","1480691","24252610","16.20","16.65","16.00","16.50","0.5000","511"
"9921","巨大","778855","193526272","248.00","254.50","246.50","248.00","8.0000","737"
"9924","福興","105336","4247857","40.30","40.70","40.25","40.40","0.2000","66"
"9925","新保","52278","2048350","39.30","39.30","39.10","39.20","0.1000","64"
"9926","新海","8010","418526","52.00","52.70","52.00","52.50","0.5000","9"
"9927","泰銘","172020","6932647","40.00","40.50","40.00","40.40","0.5000","148"
"9928","中視","107398","1697374","14.65","16.05","14.65","16.05","1.4500","87"
"9929","秋雨","124117","1094715","9.04","9.04","8.66","8.95","0.0500","45"
"9930","中聯資源","51943","2407521","46.70","46.70","46.30","46.30","0.1000","40"
"9931","欣高","7214","285943","39.55","39.85","39.55","39.85","0.3000","17"
"9933","中鼎","2531945","110029058","43.30","43.95","43.00","43.60","1.1000","1479"
"9934","成霖","332330","4025104","12.05","12.15","12.00","12.15","0.2500","126"
"9935","慶豐富","61206","1097590","17.65","18.10","17.65","17.90","0.2000","55"
"9937","全國","33008","1612938","48.90","49.00","48.60","48.85","-0.0500","19"
"9938","百和","1336090","77028014","57.00","58.90","56.80","57.00","0.3000","905"
"9939","宏全","330866","24255321","73.00","73.60","73.00","73.50","0.7000","344"
"9940","信義","588778","17666869","29.75","30.35","29.75","30.30","0.5500","230"
"9941","裕融","942754","168835051","176.50","180.50","176.50","180.00","3.5000","1074"
"9941A","裕融甲特","21089","1062985","50.40","50.50","50.40","50.50","0.1000","11"
"9942","茂順","137482","11899303","86.80","87.50","86.30","87.20","1.2000","126"
"9943","好樂迪","51624","2804575","54.10","54.70","54.00","54.50","0.4000","52"
"9944","新麗","68235","1391556","20.40","20.45","20.20","20.45","0.0500","40"
"9945","潤泰新","7955072","454558036","55.90","57.80","55.90","57.70","1.7000","5173"
"9946","三發地產","51560","665150","13.10","13.10","12.85","12.90","0.0000","41"
"9955","佳龍","4195461","89624016","21.80","21.90","21.10","21.30","-0.9000","2205"
"9958","世紀鋼","853416","84117049","98.10","99.10","97.60","98.90","1.7000","656"
